Title,Date,Category,Location,URL
Wochenmarkt Südviertel,"Mi., 6 Mai, 2026 07:00",Bauernmarkt / Regionalmarkt,"Südviertel, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/dec5ee81-8543-4afc-b1b6-a904cb45ab21/wochenmarkt-suedviertel
14. Psychiatrietag(e) 2026,"Mi., 6 Mai, 2026 09:15",Gesundheitsvortrag,"Haus des Gastes, Gladenbach",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/343647f4-40fc-4775-8c36-996f0af26e34/14--psychiatrietag-e--2026
Angela Anzi: Aftertone,"Mi., 6 Mai, 2026 11:00",Dauerausstellung,"Marburger Kunstverein , Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/df129756-2c4d-41ae-9ec4-2567476f8281/angela-anzi--aftertone
SPEKTRUM-Ausstellung,"Mi., 6 Mai, 2026 15:00",Vernissage,"Stadthalle Stadtallendorf, Stadtallendorf",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/8c813e2d-c629-48d5-9303-17b8a755f6ab/spektrum-ausstellung
Mobile KunstWerkStatt,"Mi., 6 Mai, 2026 15:00",Kinder- & Familienveranstaltungen,"Rudolphsplatz, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/9d6a7116-850f-4b74-bd65-55e30a025348/mobile-kunstwerkstatt
Die halbe Stunde,"Mi., 6 Mai, 2026 17:00",Kirchenmusik,"Elisabethkirche, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/f6faf209-dd2e-4221-91e3-887ff51bdd29/die-halbe-stunde
Lebenlifehayat!,"Mi., 6 Mai, 2026 19:30",Sprechtheater / Schauspiel,"Kleines Tasch, Theater am Schwanhof, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/e3aa85f7-88a8-4660-8c0e-df86e7115c1e/lebenlifehayat-
"""T-Time""","Mi., 6 Mai, 2026 20:00",Diverse Kurse/Seminare/Workshops,"Yogabalance, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/aa8b656c-bf95-4d3e-8cd4-27adf40bf5c3/-t-time-
Karen Rémy – Arts in Movement: ROOTS,"Mi., 6 Mai, 2026 20:00",Tanztheater,"Waggonhalle, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/f94d1337-357e-4054-9296-f1f9abf5f698/karen-remy---arts-in-movement--roots
Gymnastik für Körper und Geist,"Do., 7 Mai, 2026 14:00",Wellness / Entspannung,"Begegnungsstätte, Biedenkopf",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/e0f2ebe1-2cd5-4f59-bbb3-87b5f97a2ff7/gymnastik-fuer-koerper-und-geist
„Strandgut der Zeiten“,"Do., 7 Mai, 2026 20:00",Musikveranstaltung / Konzerte,"Waggonhalle, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/2dda95aa-e1ac-4519-ae29-3ee31150491f/-strandgut-der-zeiten-
Gospelkonzert,"Do., 7 Mai, 2026 20:00",Blues / Jazz / Gospel,"Lutherische Pfarrkirche St. Marien , Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/9bd8e492-4848-48a3-8877-beb96ed60e20/gospelkonzert
Twelvefifteen,"Do., 7 Mai, 2026 20:30",Musikveranstaltung / Konzerte,"Cavete, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/0010e54f-66bc-4e98-8be3-84e6972465e4/twelvefifteen
